album_name,release_date,artwork_url,track_name,track_number,duration_ms,spotify_track_id,official_track_number,official_track_name,lastfm_track_listeners,lastfm_track_playcount,lastfm_track_listeners,lastfm_track_playcount,lastfm_track_listeners,lastfm_track_playcount,lastfm_track_listeners,lastfm_track_playcount,musicbrainz_recording_id,bpm
Scream Bloody Gore,1987,https://i.scdn.co/image/ab67616d0000b2731a777d64261a574192311760,Infernal Death,1,173720,6w6ixHfMEbfSC7X3awzbok,1,Infernal Death,178672,1058324,178672,1058324,178672,1058324,178672,1058324,5bc83118-0a1a-4bf6-9be5-9c491ea7a13f,106
Scream Bloody Gore,1987,https://i.scdn.co/image/ab67616d0000b2731a777d64261a574192311760,Zombie Ritual,2,273413,4K3qzy3AR3Lo02ybxs90gW,2,Zombie Ritual,176771,1277926,176771,1277926,176771,1277926,176771,1277926,8b0fc9fb-1bce-452f-a3a5-0670af2cf101,128.4988709
Scream Bloody Gore,1987,https://i.scdn.co/image/ab67616d0000b2731a777d64261a574192311760,Denial of Life,3,215226,3SypDWp8cRyXemFer9dQuH,3,Denial of Life,135465,704079,135465,704079,135465,704079,135465,704079,44db3fcd-a9f1-4687-b280-d250535cec69,154.9981995
Scream Bloody Gore,1987,https://i.scdn.co/image/ab67616d0000b2731a777d64261a574192311760,Sacrificial,4,221706,6TtwlRtSSr0f2O97Uh3hSe,4,Sacrificial,126781,637101,126781,637101,126781,637101,126781,637101,56ae6282-0452-43e5-9a64-3db82a847976,142.773468
Scream Bloody Gore,1987,https://i.scdn.co/image/ab67616d0000b2731a777d64261a574192311760,Mutilation,5,208000,4MIM3WVaGRVvzNmrI2AGqY,5,Mutilation,128545,680027,128545,680027,128545,680027,128545,680027,44c962ad-944d-48cd-ae95-6bcac795e333,109.9440842
Scream Bloody Gore,1987,https://i.scdn.co/image/ab67616d0000b2731a777d64261a574192311760,Regurgitated Guts,6,224960,4IUL1VgywdoHTRC9L1fqRu,6,Regurgitated Guts,118136,577771,118136,577771,118136,577771,118136,577771,f0bbcd48-f1c7-44f8-8028-21f805bb4c89,90.44934082
Scream Bloody Gore,1987,https://i.scdn.co/image/ab67616d0000b2731a777d64261a574192311760,Baptized In Blood,7,269373,3ytqID1T478uv1aZoHaDZS,7,Baptized in Blood,117180,587680,117180,587680,117180,587680,117180,587680,9adb7449-13c2-4a32-86b6-69824ee9982f,115
Scream Bloody Gore,1987,https://i.scdn.co/image/ab67616d0000b2731a777d64261a574192311760,Torn To Pieces,8,216000,66QwmGPVzRZRroovq8VpdG,8,Torn to Pieces,111003,544599,111003,544599,111003,544599,111003,544599,2b60afdb-6c7a-4af3-9bd3-37b0335360fb,125
Scream Bloody Gore,1987,https://i.scdn.co/image/ab67616d0000b2731a777d64261a574192311760,Evil Dead,9,179893,26c6Tf8IETskDcRuxWfruY,9,Evil Dead,141466,933156,141466,933156,141466,933156,141466,933156,cd5caf63-fd4b-4dd0-87d1-3a9c4057e76e,104
Scream Bloody Gore,1987,https://i.scdn.co/image/ab67616d0000b2731a777d64261a574192311760,Scream Bloody Gore,10,273040,1AOhYQVuJxwRk0l54O1Ig6,10,Scream Bloody Gore,120478,681750,120478,681750,120478,681750,120478,681750,0c38eac3-e2ff-4002-9eeb-864b8e440c52,108
